Source,Target
RXRA,DBI
TBP,BRF2
TBP,GSTM1
MEF2A,MYH14
TBP,ILK
TBP,TAF10
NR1D1,APOC3
NR3C1,PNMT
TBX2,NPPA
IRF4,IL15
NFE2L2,HPGDS
NFE2L2,SERPINA1
NFE2L2,GSTP1
ZNF384,BGLAP
ARNT,SRC
ONECUT1,ONECUT1
TFE3,DCT
CEBPG,ZFPM1
JUN,GLRX
JUNB,GLRX
MYOG,AVP
SREBF1,CEBPB
JDP2,JUN
JUN,MEF2D
JUN,ODC1
JUNB,ODC1
NFKB1,ELN
PPARA,SLC10A2
NFKB1,BCR
GATA4,SI
ZNF384,TNF
JUN,GJA1
CEBPG,DDIT3
TCF3,EBF1
MYC,YBX1
TP73,YBX1
MYC,MAP2K1
MYC,TNF
MAF,CRYAA
TP73,PSRC1
JUN,HLA-DRB1
JUNB,HLA-DRB1
SREBF2,SQLE
CEBPG,PRKAR2B
TBX15,IGF1R
MYC,RIOX2
JUN,GSS
JUNB,GSS
JUN,APC
JUNB,APC
TCF3,APOE
FOXA2,NPR1
MYC,PAX3
BCL6,IL5
JUN,NCAM1
JDP2,CREBBP
CUX1,SI
MYC,MYOD1
MYC,MYOG
JUN,SLC10A1
JUN,RHOA
JUNB,RHOA
FOXA2,APOA1
MYC,FTH1
MYC,SLC11A1
ARNT,SERPINE1
CEBPG,IL6
PPARA,SLC27A1
JUNB,CCNA2
HOXB7,CDX1
TBP,FCGR1A
NR3C1,ESR1
NFKB1,PRF1
JUN,CYP1A2
JUNB,CYP1A2
RREB1,FSHR
NFYA,HOXB4
NFKB1,SYTL1
MEF2A,RHD
POU2F1,ITGAX
POU2F1,ITGB2
POU2F1,VCAM1
MAF,NQO1
MAF,GSTK1
POU2F1,CSN2
HIF1A,CA9
CUX1,CA9
SMAD3,SFTPB
ZEB1,MUC1
JUN,GADD45B
NFKB1,GADD45B
NFKB1,IL17A
JUN,PRDM1
JUNB,PRDM1
BCL6,PRDM1
JDP2,S100A9
ZNF384,NPTX1
POU1F1,FGFR4
NFKB1,CDK9
TEF,CAD
CEBPG,CXCL8
CEBPG,TNF
ESRRG,ACADM
MEF2C,PPARGC1A
CEBPG,HAMP
TP73,RBL2
ONECUT1,GCK
NFKB1,TNFAIP3
ZEB1,BGLAP
NFKB1,SOCS1
NFKB1,CFB
NFKB1,NOD2
NFKB1,CASP4
JUN,LORICRIN
JUNB,LORICRIN
JUN,NUP214
JUN,SPP1
JUNB,SPP1
HIF1A,BCL2
SREBF1,UCP2
SMAD3,FN1
FOSL1,NOTCH2
NFKB1,MUC1
TWIST1,POSTN
MYC,CD40
MEF2A,CD14
JUN,EBP
JUN,CEBPB
HIF1A,LEP
ARNT,LEP
CRX,BANF1
PPARG,IL6
SFPQ,CYP11A1
SFPQ,CYP2B6
SFPQ,IGF1
NFKB1,IRF4
NFKB1,IL1A
NFKB1,EPO
MYC,OPRK1
JUN,MEN1
TFAP4,NF1
NFE2L2,SLC7A11
IRF3,IFNA5
IRF3,IFNA4
MEF2A,HP
ZBTB16,GP1BA
ZBTB16,GP9
ZBTB16,MPL
JUN,GAST
JUNB,GAST
PPARA,IL2
KLF2,ODC1
HR,GRIA2
HIF1A,BHLHE41
IRF4,CCNB1
NFKB1,IER3
MYC,IER3
NFKB1,CDX2
NFKB1,TNFRSF11B
MAFA,INS
ARNT,CYP1A1
FOXA2,PTH
NR3C1,PTH
NFE2L2,KEAP1
HIF1A,NT5E
ZNF410,MMP1
TP73,FDXR
JUN,SPARC
CUX1,CD40
JUN,NPM1
JUNB,NPM1
NFATC2,CD3E
MYC,TFF2
ONECUT1,AFP
HIF1A,F2
NKRF,ABCC8
NKRF,NOS2
TEAD1,ANKRD1
DLX4,MIA
MYC,BBC3
JUN,COL1A2
JUN,HP
JUN,EDN3
JUNB,EDN3
NFKB1,EDN3
TEAD4,S100B
FOXA2,SAMHD1
NR3C1,HSD11B1
POU2F1,CCND1
RUNX2,CDKN1A
JUN,PRKG1
PPARA,CRP
HIF1A,ABL1
HIF1A,BCR
ZBTB22,AMY2A
ZBTB22,ZBTB22
MAF,MORF4L1
BCL6,SIRT1
NFKB1,CXCL9
GSX1,GSX1
JUN,SELE
JUNB,SELE
MEF2C,NPPA
CEBPG,SAA1
SMAD2,NOS3
HIF1A,NPPA
BCL6,PFDN4
BCL6,RBBP7
BCL6,ARID1B
TCF3,RAG2
MYC,MXD4
MYC,PRKACA
MAF,IL12A
MAF,IL12B
NFKB1,IL1RN
NFKB1,LEP
KLF2,PPARG
NFYA,CBS
NR3C1,HSD3B2
IRF8,NOS2
JUNB,CSF2
JUN,ACE
JUNB,ACE
JUN,ALAS2
JUNB,ALAS2
NFE2L2,FTMT
CUX1,CDKN1A
NFKB1,LBP
TP73,APP
CEBPG,TUBA1A
JUN,YBEY
JUNB,YBEY
NFKB1,CR2
JUN,PGR
JUNB,PGR
POU2F1,GNRHR
JUN,TFPI2
JUNB,TFPI2
TCF7L2,CDX1
MYC,TIAM1
MYC,ID2
ID2,MYC
JUN,UCK2
JUNB,UCK2
NFATC2,CDK4
NFKB1,AVP
PPARG,CAT
NFKB1,PLCG2
RUNX1,CD4
HIF1A,NAA10
NFKB1,EGFR
NRG1,VEGFC
TCF3,PAX5
CEBPG,LRPAP1
SREBF1,FABP6
HIF1A,TNF
HIF1A,EPAS1
MYOG,BARX2
POU5F1,FGF4
NFKB1,PTGDS
RUNX2,DSPP
JUN,DMP1
JUNB,DMP1
TCF3,CKM
MYC,CBFB
MYC,MYH11
PPARG,RETN
CEBPG,GSTA2
CEBPG,PI3
GATA6,VWF
CEBPG,LEP
SMAD3,LEP
SMAD3,PPARG
JUN,ABCC3
JUN,SLC2A2
CEBPG,ABCC3
CEBPG,SLC2A2
JUNB,SLC2A2
HSF2,HSF2
ID2,CCND1
NFKB1,ABCB1
CEBPG,IL12B
RUNX2,TAFAZZIN
SFPQ,CYP17A1
GATA6,INHA
JUN,CAT
JUNB,CAT
NR3C1,CYP3A5
NEUROD1,GCK
NEUROD1,GK
NFKB1,PML
CEBPG,CYP3A4
HIF1A,CREBBP
MYC,PIAS2
PPARG,LRP1
RXRA,LRP1
TFEB,SERPINE1
SMAD3,FSHB
SIX1,PTH2R
RUNX1,CCL3
NEUROD1,GAP43
CRX,KNTC1
NRG1,EGFR
MYC,FOS
ZNF362,TIMP1
PPARA,TGFB1
HR,IL3
MEF2A,MAPK7
CEBPG,RETNLB
JUN,ITGAX
JUNB,ITGAX
MEF2A,PPARGC1A
NFKB1,CDC42
TLX1,ALDH1A1
BCL6,GATA3
BCL6,IL6
NFKB1,TACR1
NFKB1,CCL3
IRF3,ISG15
MXI1,GLMN
HIF1A,MDM2
POU4F2,WT1
HOXB2,MRGPRF
JUN,MRGPRF
TBP,HMOX1
POU5F1,UTF1
GABPA,PRL
JUN,MAP2K5
JUNB,MAP2K5
CUX1,CDK2
KLF3,HBE1
NR3C1,BCL2L1
MYC,NBN
HMGA1,BRCA1
FOXA2,MAP1B
FOXA2,CFH
ZIC1,ATOH1
TP73,CCNG1
JUN,GNRHR
JUNB,GNRHR
NR3C1,GNRHR
MYC,GJA1
NR3C1,CPB2
MYC,SPP1
POU2F1,SPP1
NFE2L2,GCLM
NFE2L2,TXN
MEF2A,BMP2
MEF2A,HLA-E
POU5F1,FBXO15
HMGA1,SP1
JUN,BCL2A1
JUNB,BCL2A1
JUN,GTF2B
CUX1,ERVK-11
POU1F1,KRAS
CEBPG,FGFBP1
SMAD3,IL6
NFKB1,SERPINE1
IRF4,CD68
IRF8,CD68
JUN,TAF7
JUNB,TAF7
PPARG,MCM7
CUX1,CAV1
JUN,BCL2
JUNB,BCL2
GATA4,GIP
NFKB1,CXCR4
MEF2A,CDK5
PPARG,CXCL8
FOXA3,CYP3A4
NFYB,HLA-E
NFYB,RFX5
RFX5,RFX5
HIF1A,RHO
JUN,GZMB
JUNB,GZMB
JUN,PRF1
JUNB,PRF1
NFKB1,GZMB
SMAD3,ACTG2
SMAD3,ACTA1
PPARG,BGLAP
JUN,TNFRSF9
JUNB,TNFRSF9
NFKB1,TNFRSF9
JDP2,ACP5
JDP2,CD40
JDP2,CTSK
PPARG,FASLG
ZNF384,IL4
PPARA,APOA5
DLX4,AXIN2
DLX4,WNT1
JUN,LDOC1
JUNB,LDOC1
JUN,SAT1
JUNB,SAT1
NFE2L2,GSR
MYC,TMEFF2
GATA4,EDF1
JUN,NPPA
SREBF1,RETN
PPARA,SREBF1
IRF3,CDK2
TBX2,GJA1
JUN,CYP19A1
JUNB,CYP19A1
CEBPG,CEBPD
CEBPG,EBP
NFKB1,CEBPD
NFKB1,EBP
CEBPG,IKBKE
HIF1A,WT1
NFYA,CDC25C
ZHX2,CDC25C
ZHX2,NFYA
NFE2L2,PRDX1
TFE3,KHDRBS1
TCF3,ACHE
MYOG,MSTN
GABPA,PSEN1
RUNX2,IBSP
NFKB1,PRKG1
POU2F1,FGL2
NFKB1,SAMHD1
NFKB1,SULT1E1
NFKB1,BMP2
JUN,TRAF3IP2
JUNB,TRAF3IP2
PPARG,SCARB1
PPARA,SCARB1
SREBF1,ACACB
MYC,SKP2
DLX4,CDH1
DLX4,NOS1
TBP,ERVK-11
GATA4,DIO2
PPARG,SLC2A4
RXRA,SLC2A4
GFI1,ELANE
ONECUT1,PDX1
DLX4,RPS6KB1
PPARA,PLA2G2A
SIX1,EYA1
SIX1,SALL1
JUN,LGALS3
PPARA,PTPRF
NR3C1,CDKN1C
JUN,PRKCE
TFAP4,IL1B
TFAP4,TGFB1
TBP,STIP1
NOTO,LCK
NFKB1,PRKCD
POU1F1,PECR
HSF2,HSPA4
HEY2,EFNB2
HEY2,NOTCH4
PPARA,IFNG
BCL6,IL18
NFKB1,PLAUR
CUX1,STAT5A
TBP,ADH4
PPARA,ADIPOQ
PPARG,SFTPB
IRF3,IFIT2
IRF3,IFNA16
ZNF362,SLC4A1
MYC,GATA1
JUN,HSPB1
RUNX1,GATA3
CUX1,BCL2
TFAP4,IFNG
PPARG,RARB
POU5F1,BRCA1
TBP,H1-2
NFKB1,HP
NFKB1,JUN
NR3C1,BDNF
NR3C1,FGF2
MYC,JUN
JUN,MYC
JUN,B3GNT9
JUNB,B3GNT9
SMAD2,IL6
MYC,CSF2
NFKB1,TRPC1
MYC,IGF2R
MEF2C,GTF2IRD1
NFYB,NFYA
NFKB1,S100A6
NFKB1,INS
NFKB1,TWF1
BCL6,CD80
FOXA2,DLK1
NR3C1,CYP2C19
TCF20,DRD1
JUN,UPP1
JUNB,UPP1
GFI1,RUNX1T1
JUNB,TNFRSF8
JUNB,MTR
JUN,TNFRSF8
NFKB1,APOA1
PPARA,APOA1
POU2F1,H2AC19
JUNB,APP
PPARA,SCP2
NEUROD1,INSM1
TCF3,INSM1
ELF2,NOS2
JDP2,ATF2
JUNB,UBC
GABPA,SKP2
FOXA2,F2
NFKB1,CXCL2
JUN,CXCL2
CEBPG,RBFOX2
NFKB1,AMH
JUN,HBA1
JUNB,HBA1
PPARG,FLT1
JUN,FLT1
JUNB,FLT1
PPARG,SGK1
SREBF1,IDH1
SREBF2,IDH1
JUN,IL11
JUNB,IL11
SMAD2,GADD45B
SMAD3,GADD45B
PPARG,BRCA1
RUNX1,ITGAX
MYC,CCNA2
MYC,CDK2
JUN,CCN1
JUNB,CCN1
CEBPG,TF
JUN,DIO3
JUNB,DIO3
CEBPG,ELANE
ATF6,XBP1
JUN,KRT16
JUNB,EGF
JUNB,KRT16
RXRA,APOA2
JUN,PRDX1
JUNB,PRDX1
JUN,PLAT
NEUROD1,PAX6
RFX5,COL1A2
TCF3,PDX1
CEBPG,GH1
CEBPG,BCL2
JUN,AXIN1
JUNB,AXIN1
JUN,FGFR1
JUNB,FGFR1
NFYA,ACSBG1
NFYA,CYC1
JUN,PRKACA
JUNB,PRKACA
JUN,MYOD1
MYOG,FOS
JUN,MYOG
MYOG,JUN
JUN,CKM
JUNB,CKM
MYOG,CKM
NR3C1,FOS
TBP,RARB
JUN,LARGE1
JUNB,LARGE1
MYC,GHRHR
TCF3,TCF3
TBP,TKT
POU1F1,CS
JUN,PCK1
HMGA1,IFNB1
MYOG,MYL1
HOXD9,HOXC5
NFKB1,IL2RA
HLX,IL2RA
JUN,FOSL1
JUNB,FOSL1
JUNB,CSF3
MYOG,MAP1B
TFAP4,APP
ZNF143,TPP1
E4F1,ACHE
NFKB1,CISH
MEF2A,MB
POU2F1,H2BC11
POU2F1,LPL
JUN,DHDDS
JUN,TGFBI
HR,IL6
NFKB1,HLA-E
CEBPG,IGHM
JUN,CSF1
RUNX2,CCNE1
GABPA,CD79A
JUN,MSH2
JUNB,MSH2
GFI1,GUCY1B1
TBP,MYC
RUNX2,SPP1
PPARA,SAT1
HIF1A,PTGS2
JUN,IGF2
JDP2,KAT2B
JUNB,GADD45B
MEF2C,TNF
JUN,ADRA1D
JUNB,ADRA1D
JUNB,GJA1
PPARG,MAF
JUN,SCN1A
JUNB,SCN1A
JUN,ASIC3
JUNB,ASIC3
JUNB,MYC
PPARA,PANK1
ARNT,CDKN1B
JUN,CREM
JUNB,CREM
MYC,CHRNA7
NFKB1,EIF2B5
ZBTB16,SUMO1
RXRA,ABCB1
ARNT,SP1
JUN,MAT2A
JUNB,MAT2A
NFKB1,MAT2A
NFKB1,BCL3
NFKB1,MAP3K7
NFKB1,PLCD1
POU3F1,CXCR4
GATA4,NOS3
RUNX1,SMARCA4
NFKB1,HPSE
ZNF384,GSTA2
ZNF384,ALB
RUNX1,PRKCB
POU2F1,PDRG1
NFKB1,KITLG
NFKB1,REN
NFE2L2,TBXAS1
KLF2,IL7
NFKB1,ZIC2
CEBPG,ICAM1
NFKB1,IFNA1
NFKB1,PDGFA
PPARG,IL4
IRF8,IRF1
IRF4,IFNA1
SMAD2,CDKN1A
JUN,SERPINB7
JUNB,SERPINB7
SMARCC1,SMARCB1
CEBPG,DYM
NR3C1,SLC37A4
HIF1A,APEX1
NFKB1,APEX1
NFKB1,TSPOAP1
ID2,TERT
HIF1A,GCK
CUX1,AKT1
CUX1,PIK3R1
HIF1A,GK
CRX,ATXN7
TP73,KAT2B
SMAD3,SLC5A5
ZNF395,HTT
TCF3,NR0B2
HMGA1,IL1B
NEUROD1,TYR
NEUROD1,TYRP1
PPARG,CD40
MYC,PIGR
JUN,CSHL1
JUNB,CSHL1
JUN,RAB27A
JUNB,RAB27A
JUN,RBPJ
JUNB,RBPJ
ESRRG,NRIP1
ZBTB16,MYC
NFKB1,PPARG
SMAD3,CDKN2B
TP73,ADA
NEUROD1,PTCRA
HR,PTGDR
SMAD3,TAGLN
SMAD2,TAGLN
SMAD6,TAGLN
PPARG,IRF1
IRF8,ABL1
IRF8,BCL2
IRF8,BCR
ARNT,SIM1
JUN,IL2RA
CEBPG,APP
NFKB1,EP300
NFKB1,LCN2
GATA4,CD44
RUNX2,MMP14
CEBPG,ADH1C
PPARG,MPO
KLF2,HDC
KLF2,GAST
KLF2,KLF2
PPARG,PLIN2
NEUROD1,BHLHE40
NR3C1,HSPA4
JUN,STAR
RFX5,HLA-G
NR3C1,NR1H3
NR3C1,NR1I3
JUNB,THBS1
NR3C1,SLC10A2
PPARA,KDR
NFKB1,BTK
NFYA,OGG1
JUNB,IL12B
NFKB1,IL4
NFKB1,MAF
MYC,IL6
PPARA,GOT1
HSF2,TNFSF11
FOXA2,SLC10A1
JUN,BACE1
JUNB,BACE1
SMAD2,FSHB
TEF,MYLK
TEF,MYH11
ZNF143,TALDO1
ZNF76,TALDO1
PPARG,NR1H3
PPARG,PLIN1
HOXA7,FN1
JUN,CTNNB1
JUNB,CTNNB1
NFKB1,CTNNB1
SMAD3,CTNNB1
ZIC1,CTNNB1
JUN,GPRC5A
JUNB,GPRC5A
PROX1,CRYBB1
PROX1,PAX6
NFKB1,CRH
RUNX1,SPP1
TWIST1,FGF8
NFKB1,KLK3
GATA4,FABP1
GATA6,FABP1
MYC,MXI1
MXI1,MYC
NFKB1,NLK
MYC,ESR1
MEF2A,IL2
MYC,HSP90AA1
PPARA,PLIN1
NEUROD1,POMC
HIF1A,AKT1
HIF1A,HSP90AA1
HIF1A,HSPA4
POU4F2,CDK4
HIF1A,NR4A1
NFKB1,PTEN
PPARG,PEX11A
SMAD3,IFNB1
NRG1,CCND3
JUN,SRC
BCL6,CDKN1B
FOXA2,SLCO1B3
FOXA2,SLCO1B1
RUNX2,SOST
NFKB1,GBP1
SMAD3,EPO
MYC,AURKA
NFKB1,CCL4
RUNX1,CCND3
NFE2L2,MAFK
MAF,HMOX1
SREBF1,PDX1
TCF3,GYPA
PPARG,SAT1
PPARA,NOS3
NFE2L2,CD36
NEUROD1,NR0B2
NEUROD1,CDKN1A
SMAD3,NOS2
TBX15,HTR1A
PPARG,CTNNB1
MYC,TFPI2
MAF,INS
CEBPG,PDGFRA
JUN,IGFBP4
JUNB,IGFBP4
MYC,MYBL2
JUN,VIM
JUNB,VIM
NR3C1,TP53
ELF2,BLK
TBX20,NPPA
GATA4,MMP2
SMAD2,MMP13
GATA4,EPHX1
SNW1,VDR
GATA4,CYP17A1
GATA6,CYP17A1
TFAP4,TRA2B
TFAP4,MDM2
JUN,CTSK
TBX2,CDKN1A
JUN,CP
JUNB,CP
MAF,CCND2
SREBF1,LDLR
CRX,PDE6A
CRX,NRL
TCF3,CD5
SMAD3,TNC
HR,CDKN1A
NFKB1,MMP3
JUN,MMP26
JUNB,MMP26
NR1D1,IL6
NR1D1,PTGS2
NFKB1,GSTP1
SMARCC1,SMARCC1
SMARCC1,KRAS
TCF3,SMARCC1
ZNF362,KDR
RUNX1,ERAP1
MAF,CRYAB
MAFA,CRYAB
MYC,DDIT3
NFKB1,ILK
PPARG,PTGES
NFKB1,CYP17A1
JUN,IVL
JUNB,IVL
CEBPG,DSC3
TP73,TP53AIP1
NFKB1,CD74
NFKB1,CD79B
NFKB1,MCM3AP
NFKB1,STMN1
RUNX1,CD8A
SREBF1,ADIPOQ
PPARG,CDKN1A
NFKB1,PARP1
NFYA,CHEK2
MYOG,MEF2C
MEF2C,MYOG
JUNB,IGF2
NR3C1,PDK4
CEBPG,RTN4
ISL2,INS
JUN,CYP4B1
JUNB,CYP4B1
NFKB1,CYP4B1
HIF1A,TIMP1
JUN,EFHD2
NFKB1,EFHD2
RUNX1,TIMP1
RUNX2,TIMP1
RUNX1,JUND
GATA4,IGF1
JUN,KRT15
JUNB,KRT15
NFKB1,KRT15
NFKB1,ISG20
PPARG,GADD45A
PPARG,BCL2
PPARA,AGT
PPARA,ANG
NFKB1,HSD17B1
NFKB1,PRL
MEF2C,BMP10
PPARG,INSIG1
TEAD4,VEGFA
NRG1,PA2G4
MYC,PRKN
MYC,CSN2
JUN,MOS
MEF2A,SNCG
NFKB1,IRAK4
SMAD3,MMP13
MYC,EIF4E
TCF7,CD1D
NFKB1,CDKN1B
NFKB1,CTSB
RUNX2,IHH
RUNX2,VEGFA
CEBPG,APOA1
CEBPG,APOC3
MEF2A,MAPK14
PPARG,KDR
NEUROD1,SP3
TCF3,SP3
SREBF1,NR0B2
SREBF2,NR0B2
SREBF1,CYP7A1
RUNX1,CSF2
SREBF1,ADH1C
FOXA2,ALAS2
FOXA2,INS
JUN,PDLIM7
JUNB,PDLIM7
PPARA,RETN
NFKB1,VEGFA
GFI1,GFI1B
GFI1,GFI1
PPARA,PPARA
DLX3,HSD3B1
RUNX2,FGF3
TCF3,CDKN2A
NR3C1,TLR2
CRX,IPO13
ARNT,CYP1A2
ABL1,JUN
JUN,BCR
NR3C1,CHRNA7
NFKB1,FOS
HIF1A,EGLN3
NFKB1,PTK2
RXRA,ORM1
PPARG,C1QTNF3
POU1F1,C1QTNF3
TBX3,GJA5
TBX3,NPPA
NFKB1,G6PC1
TBP,EGF
NFKB1,MAP3K8
NAB2,EGR3
HNF4G,GHR
MEF2A,PHB2
NFKB1,ARRB2
MYC,FMR1
NFKB1,PDGFB
NFKB1,TFF3
ARNT,UNCX
NFKB1,IL18
NFKB1,PIK3R1
HIF1A,CYGB
NFATC2,IL2
JUN,APOE
JUNB,APOE
NFKB1,APOE
SMAD2,SMAD7
NFATC2,FGF2
NFATC2,SERPINF1
NFATC2,CFLAR
IRF3,ABCC2
PPARG,IFNG
SMAD2,VEGFA
NRG1,RBBP8
CRX,NR2E3
PPARA,ANGPTL4
PPARG,ANGPTL4
RUNX2,PTTG1
RUNX2,PTTG1IP
PPARG,GH1
ARNT,FLT1
HIF1A,FLT1
MYC,ADM
HIF1A,ATP7A
MYC,TPI1
PROX1,CYP7A1
MYC,CDK4
JUN,MMP2
CEBPG,CCL2
TP73,BIRC5
JUN,PPP1R15A
MYC,PDGFRB
JUN,PITX1
JUNB,PITX1
NFATC2,IL13
GATA6,PLAU
PPARA,GK
PPARA,GPD1
RUNX1,ABCB1
HIF1A,ITGB2
JUN,REN
SMAD3,BAMBI
NFKB1,LY96
NFKB1,AMY2A
SMAD2,APP
SMAD3,APP
NFKB1,CCR7
RFX5,IFNG
GFI1,TSPOAP1
HIF1A,ID2
HIF1A,RORA
ARNT,RORA
JUN,MYB
CEBPG,BTK
NFKB1,BDNF
NFE2L2,COX6A1
NFKB1,IGF1
JUN,MAOA
TBP,CDKN1A
ZNF76,CDKN1A
GATA6,CYP11A1
MYC,WT1
SMAD3,GAST
JUN,NR0B2
NFATC2,CD34
JUN,TLR9
NFKB1,TLR9
ZNF76,ZNF143
GATA4,CTNNA3
MEF2C,CTNNA3
JDP2,CSF1R
ONECUT1,CREBBP
HMGA1,CYBB
GFI1,IL7R
HIF1A,NPM1
NR1D1,BMAL1
HIF1A,FECH
PPARA,CAV1
NRG1,NRG1
JUN,TNFSF11
NFATC2,TNFSF11
NFATC2,CD40
HIF1A,PRKG1
NEUROD1,EPO
SREBF1,APOA5
NFKB1,SOD1
NFATC2,GHRH
FOSL1,MMP9
NFKB1,PRKCA
CEBPG,SLCO1B3
NFKB1,EGF
RUNX1,PML
JUN,IFNA1
JUNB,IFNA1
NR3C1,GOT1
PPARG,APOE
PPARA,CYP27A1
POU2F1,CR2
MYC,PRKCG
MYC,REL
NFKB1,REL
MYC,PRKCQ
IRF3,IL15
IRF3,IL12RB1
CUX1,SCARB1
NFATC2,CX3CR1
NR3C1,ACAT1
SMAD3,DSPP
SMAD2,DSPP
TBX15,GJA1
TBX15,TBX2
IRF3,CREBBP
NR3C1,CXCL8
CRX,IGF2
MYC,IGF2
MEF2A,CPT1A
MEF2C,CPT1A
JUNB,TNFSF11
SREBF2,ABCA1
KLF2,CDKN1A
RUNX1,CD79A
NEUROD1,CD79A
GATA4,MYOCD
MYC,CFLAR
IRF8,NF1
JUN,FADD
JUNB,FADD
TBX15,FADD
HMGA1,KL
HMGA1,BTK
HMGA1,HMGA1
MYOG,CHRNG
GATA4,ACOT13
ONECUT1,ONECUT3
TBP,FGFR1
GATA6,SULT2A1
GATA4,CLDN2
SREBF2,PLA2G6
MZF1,MS4A3
TP73,PDGFRB
TP73,NFYA
GATA6,LAMA1
GATA6,ROCK1
JUN,PELP1
JUNB,PELP1
NFKB1,PELP1
DLX3,BGLAP
HIVEP1,HP
CEBPG,APOB
SMAD2,NODAL
NFKB1,CYP19A1
NR3C1,TAT
JUN,MUC4
NR3C1,SLPI
JUN,KITLG
JUN,TPSB2
NFKB1,IL10
MYC,IKBKB
NR3C1,CDKN1A
NFKB1,ARHGDIA
PBX3,TLX3
MEF2A,NPPA
MEF2A,ADK
MEF2A,PITX2
NFE2L2,HBB
MYC,TCP10L
JUN,PPARD
JUNB,PPARD
SMAD3,PPARD
TFCP2L1,CYP11A1
HIF1A,PFKFB4
JUN,STMN1
MEF2A,ACTA2
MEF2A,ACTG2
NRG1,CHD7
NRG1,EMD
NRG1,TEC
SREBF2,SCARB1
ZEB1,GATA3
IRF8,IL12A
RUNX1,RUNX1T1
AIRE,TG
CEBPG,OXTR
JUN,IL13
JUNB,IL13
NFKB1,MR1
NFKB1,MICA
IKZF4,DLG4
MAF,CD2
MAF,CD4
SMAD6,COL1A2
IRF3,AKT1
IRF3,PI3
TBP,PLA2G4A
BCL6,CCND2
JUN,SPRR1A
JUN,NCF2
JUNB,NCF2
NFKB1,CCNB1
PPARG,CYP1A1
NFKB1,NFKBIZ
NFKB1,MYLK
MZF1,ST6GALNAC4
MYC,NME2
NME2,MYC
NR3C1,CCL11
PPARG,CCL11
NRG1,CSN2
GATA4,GJA5
PPARA,MTTP
GATA4,GCG
KLF2,PLA2G4A
NFKB1,SRC
GATA4,MUC2
MZF1,CDH2
JUN,PON2
JUNB,PON2
JDP2,PON2
GATA6,MYLK
GATA6,MYOCD
GATA6,TAGLN
JUN,CYP8B1
RUNX1,ITGA2B
POU5F1,POU5F1
POU5F1,SOX2
NR3C1,UGT1A1
JUN,ZIC3
JUNB,ZIC3
KLF2,ITGAD
MEF2A,MYH13
JUN,BLOC1S3
FOXA2,IAPP
BCL6,CDKN2A
PPARG,MUC1
PPARA,MUC1
SREBF2,ACR
NFE2L2,MAFG
NFE2L2,MAF
JUN,CCNA2
JUN,SMAD3
JUNB,SMAD3
JUNB,CD82
JUN,CD82
MYC,NPM1
JUN,HBZ
RUNX1,IGFBP3
NFKB1,CASP8
MYC,PDLIM7
TBP,HBB
JUN,RELB
JUNB,RELB
POU2F1,SLC26A3
CEBPG,TIMM17A
FOXI1,PAX8
SIRT1,FOXO3
HIF1A,UCP2
HIF1A,FURIN
HIF1A,TGFB1
SREBF1,DBI
NFKB1,BCL2L2
NFKB1,TANK
NFKB1,TBK1
BCL6,NFKB1
FOSL1,CXCL8
TBP,CXCL8
CUX1,CYBB
SATB1,HBE1
SATB1,CREBBP
HIF1A,HSP90B1
NFKB1,ALOX5AP
CEBPG,ALOX5AP
JUN,PML
SREBF1,HK2
NR3C1,AGT
PPARA,SERPINE1
TP73,ABCB1
NFKB1,NFKBIE
TBP,MAP3K14
TBP,TAF5
TBP,TAF12
SIRT1,BCL11A
JUNB,PRKCE
TP73,BBC3
TP73,SHISA5
NFE2L2,AKR1B1
NFE2L2,AR
NFE2L2,VPS52
NFKB1,PIAS1
NFKB1,HSD11B2
PPARA,ORM1
NFKB1,MUC2
JUNB,CYP11B2
POU2F1,CYP2A6
NFKB1,MCL1
CUX1,HPS5
NFYA,HPS5
NFATC2,IL21
NFE2L2,TFB1M
NFE2L2,TFB2M
JUN,CDKN2A
FOSL1,CDKN2A
JUN,PVR
JUNB,PVR
JUN,MMP3
JUNB,MMP3
TBX3,TBX3
HIF1A,IGF1
CUX1,STAT6
RUNX1,HLA-E
NFKB1,TNFSF15
TBP,BDKRB1
HIF1A,TPO
MEF2C,KDR
HMGA1,IFNG
BCL6,STAT5A
HMGA1,RAG2
SATB1,IL2
SATB1,TAT
SP7,TAT
TP73,IGFBP3
JUN,IL3
JUNB,IL3
SMAD6,SERPINE1
OVOL1,ID2
PPARA,GSK3B
TBP,ISYNA1
SREBF1,PTGS2
KLF2,MCL1
KLF2,NOS3
KLF2,SERPINE1
KLF2,THBD
TBP,CHMP4A
SREBF2,HMGCS2
NFKB1,NAF1
FOXA2,IBSP
CEBPG,LRP6
CEBPG,CREBBP
SP7,WNT10B
NFKB1,EBI3
NFKB1,BIRC5
HSF2,PRKACA
HSF2,ROS1
ZNF436,SMARCA4
NR1D1,PPARG
PPARG,NR1D1
TP73,TERT
KLF2,MAGEE1
KLF2,WEE1
MYC,PML
MEF2A,MYH6
TP73,CCNB1
RUNX1,MPL
NFATC2,LGALS4
NFATC2,MAPK8
NFATC2,NFATC2
MEF2C,SUB1
NFKB1,ERBB2
JUN,CCR5
JUNB,CCR5
MAF,IL10
RUNX1,TRB
NFKB1,NFKBID
CEBPG,DDIT4
JUN,DDX53
JUNB,DDX53
NFKB1,GDF15
PPARA,LEP
